pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2024-09-03,96.0,-1.85,5.69,"Iglesias, Raisel",696100,628452,strikeout,called_strike,,,,,9,Hunter Goodman called out on strikes.,R,R,R,ATL,COL,S,2,,2,2,2024,-1.38,0.83,0.48,1.84,,,,2,9,Top,,,,,,,9.229945288451953,-139.44637086753735,-6.467013058637561,-19.97568130729849,29.27673163138103,-20.04432129908185,3.41,1.62,,,,95.8,2440,6.1,747079,669221,621566,663897,570482,606115,642201,671739,657656,54.38,,0.0,0.0,1,0,0,,69,5,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,219,0.004,-0.219,,,,0.219,,3,-3,0.996,0.004,34,24,34,25,1,3,2,2,1,2,1.64,1.38,1.38,33.7,,,,,
CH,2024-09-03,91.2,-1.86,5.59,"Iglesias, Raisel",696100,628452,,ball,,,,,13,Hunter Goodman called out on strikes.,R,R,R,ATL,COL,B,,,1,2,2024,-1.33,0.34,-0.48,0.2,,,,2,9,Top,,,,,,,6.274328210023624,-132.48945746493214,-8.358708893940626,-16.972134373244746,26.156362903169143,-26.65155518685655,3.35,1.6,,,,90.9,2068,6.0,747079,669221,621566,663897,570482,606115,642201,671739,657656,54.45,,,,,,,,69,4,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,244,0.0,0.039,,,,-0.039,,3,-3,0.996,0.004,34,24,34,25,1,3,2,2,1,2,2.39,1.33,1.33,31.0,,,,,
SL,2024-09-03,85.5,-1.62,5.64,"Iglesias, Raisel",696100,628452,,ball,,,,,14,Hunter Goodman called out on strikes.,R,R,R,ATL,COL,B,,,0,2,2024,1.22,0.42,2.16,2.18,,,,2,9,Top,,,,,,,6.411916258441533,-124.35124346480204,-2.689064564799131,11.343492307397666,25.79148692658737,-27.454663396158427,3.33,1.55,,,,85.0,2683,6.1,747079,669221,621566,663897,570482,606115,642201,671739,657656,54.44,,,,,,,,69,3,Slider,3,0,0,3,0,3,0,3,Standard,Standard,55,0.0,0.023,,,,-0.023,,3,-3,0.996,0.004,34,24,34,25,1,3,2,2,1,2,2.71,-1.22,-1.22,32.9,,,,,
SL,2024-09-03,84.0,-2.37,5.22,"Iglesias, Raisel",696100,628452,,called_strike,,,,,4,Hunter Goodman called out on strikes.,R,R,R,ATL,COL,S,,,0,1,2024,1.07,0.46,-0.32,2.7,,,,2,9,Top,,,,,,,2.629367022816535,-122.3614071270704,-0.3784851878892254,10.258896245186948,22.88555827373072,-27.695960906577785,3.44,1.69,,,,84.2,2780,6.2,747079,669221,621566,663897,570482,606115,642201,671739,657656,54.26,,,,,,,,69,2,Slider,3,0,0,3,0,3,0,3,Standard,Standard,73,0.0,-0.058,,,,0.058,,3,-3,0.996,0.004,34,24,34,25,1,3,2,2,1,2,2.75,-1.07,-1.07,22.5,,,,,
SL,2024-09-03,84.1,-1.56,5.76,"Iglesias, Raisel",696100,628452,,foul,,,,,1,Hunter Goodman called out on strikes.,R,R,R,ATL,COL,S,,,0,0,2024,1.13,0.35,-0.59,3.29,,,,2,9,Top,,,,,,,0.0205389796227146,-122.6080695816471,-0.0666701519327556,11.372251471980684,23.74879826982361,-28.84417155562587,3.41,1.59,192,67.7,27,83.8,2621,5.9,747079,669221,621566,663897,570482,606115,642201,671739,657656,54.59,,,,,,,,69,1,Slider,3,0,0,3,0,3,0,3,Standard,Standard,71,0.0,-0.041,83.7,6.5,,0.041,88.0,3,-3,0.996,0.004,34,24,34,25,1,3,2,2,1,2,2.86,-1.13,-1.13,36.2,15.46722448998362,0.0459988973989173,17.883713226635177,29.93647871140824,33.46919749111246
CH,2024-09-03,89.9,-1.87,5.57,"Iglesias, Raisel",595909,628452,field_out,hit_into_play,,,,,4,Jake Cave pops out to shortstop Orlando Arcia.,R,L,R,ATL,COL,X,6,popup,1,1,2024,-1.44,0.41,-0.67,2.62,,,,1,9,Top,120.89,112.62,,,,,6.005599814493818,-130.83173754836196,-2.1861256826420714,-17.8443483203018,28.30527176760492,-27.23153092450409,3.32,1.58,218,77.2,50,89.5,1997,6.1,747079,669221,621566,663897,570482,606115,642201,671739,657656,54.39,0.071,0.075,0.0,1,0,0,3,68,3,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,250,0.009,-0.243,72.6,7.1,0.107,0.243,88.0,3,-3,0.987,0.013,34,31,34,32,1,0,2,2,1,1,2.42,1.44,-1.44,30.5,20.945409442693563,-2.5781331245026777,32.27243265962805,44.521930075618506,34.03580069095649
CH,2024-09-03,91.0,-1.67,5.61,"Iglesias, Raisel",595909,628452,,ball,,,,,14,Jake Cave pops out to shortstop Orlando Arcia.,R,L,R,ATL,COL,B,,,0,1,2024,-1.35,0.65,0.06,0.49,,,,1,9,Top,,,,,,,7.1727874993503145,-132.20246459394082,-8.28498603445318,-17.380602940005996,27.616889784405245,-22.93290530160773,3.35,1.67,,,,90.4,2169,6.0,747079,669221,621566,663897,570482,606115,642201,671739,657656,54.51,,,,,,,,68,2,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,246,0.0,0.024,,,,-0.024,,3,-3,0.987,0.013,34,31,34,32,1,0,2,2,1,1,2.1,1.35,-1.35,32.4,,,,,
SL,2024-09-03,83.9,-1.65,5.78,"Iglesias, Raisel",595909,628452,,called_strike,,,,,5,Jake Cave pops out to shortstop Orlando Arcia.,R,L,R,ATL,COL,S,,,0,0,2024,1.05,0.38,0.09,2.22,,,,1,9,Top,,,,,,,1.9589035444623204,-122.21839720136155,-2.637193898883563,10.185926986294426,22.28498036022467,-28.08477201224356,3.37,1.69,,,,83.8,2718,6.0,747079,669221,621566,663897,570482,606115,642201,671739,657656,54.49,,,,,,,,68,1,Slider,3,0,0,3,0,3,0,3,Standard,Standard,69,0.0,-0.037,,,,0.037,,3,-3,0.987,0.013,34,31,34,32,1,0,2,2,1,1,2.83,-1.05,1.05,34.5,,,,,
CH,2024-09-03,89.1,-1.69,5.64,"Iglesias, Raisel",453568,628452,field_out,hit_into_play,,,,,7,"Charlie Blackmon grounds out, second baseman Luke Williams to first baseman Matt Olson.",R,L,R,ATL,COL,X,4,ground_ball,2,1,2024,-1.31,0.68,-0.36,2.14,,,,0,9,Top,146.72,148.79,,,,,6.000427141801227,-129.66760965208775,-3.9763461521964185,-16.076280415931024,27.233646444733225,-23.92069255883894,3.4,1.62,83,75.9,7,88.8,2179,6.1,747079,669221,621566,663897,570482,606115,642201,671739,657656,54.4,0.251,0.25,0.0,1,0,0,2,67,4,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,246,0.018,-0.296,72.4,8.2,0.274,0.296,88.0,3,-3,0.969,0.031,34,37,34,38,1,0,2,3,1,1,2.2,1.31,-1.31,32.1,24.63240875278436,-25.74543101895429,33.940565459149845,41.56981061915548,43.89205851483653
FF,2024-09-03,95.2,-1.72,5.75,"Iglesias, Raisel",453568,628452,,ball,,,,,11,"Charlie Blackmon grounds out, second baseman Luke Williams to first baseman Matt Olson.",R,L,R,ATL,COL,B,,,1,1,2024,-0.61,1.36,-1.36,2.71,,,,0,9,Top,,,,,,,2.305910352901213,-138.56274659358584,-5.353537085769893,-8.327301422332816,31.044738678186494,-13.70419810005241,3.4,1.55,,,,94.8,2156,6.0,747079,669221,621566,663897,570482,606115,642201,671739,657656,54.47,,,,,,,,67,3,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,223,0.0,0.053,,,,-0.053,,3,-3,0.969,0.031,34,37,34,38,1,0,2,3,1,1,1.16,0.61,-0.61,35.1,,,,,
